JobID|JobName|State|ExitCode|Partition|NodeList|ReqTRES|AllocTRES|Submit|Start|End|Planned|Elapsed|ElapsedRaw|TotalCPU|CPUTimeRAW|MaxRSS|MaxVMSize|AveCPU|MaxDiskRead|MaxDiskWrite|ConsumedEnergy
140185_7.batch|batch|COMPLETED|0:0||dscog006||cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T14:31:34|2026-08-30T14:31:34|2026-08-30T15:14:16||00:42:42|2562|02:18:08|20496|5128.88M|0|02:18:08|1701.17M|9491.65M|0
140185_8|csp-angle-ablation|COMPLETED|0:0|gpu_7day|dscog006|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T14:31:33|2026-08-30T15:14:16|2026-08-30T15:56:39|00:00:00|00:42:23|2543|02:18:27|20344||||||
140185_8.batch|batch|COMPLETED|0:0||dscog006||cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T15:14:16|2026-08-30T15:14:16|2026-08-30T15:56:39||00:42:23|2543|02:18:27|20344|4972M|0|02:18:27|1608.62M|9840.01M|0
140185_9|csp-angle-ablation|COMPLETED|0:0|gpu_7day|dscog006|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T14:31:33|2026-08-30T15:14:46|2026-08-30T16:01:18|00:00:00|00:46:32|2792|02:24:36|22336||||||
140185_9.batch|batch|COMPLETED|0:0||dscog006||cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T15:14:46|2026-08-30T15:14:46|2026-08-30T16:01:18||00:46:32|2792|02:24:36|22336|5124.37M|0|02:24:35|1777.97M|9218.45M|0
140185_10|csp-angle-ablation|COMPLETED|0:0|gpu_7day|dscog003|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T14:31:33|2026-08-30T15:15:33|2026-08-30T16:02:23|00:00:00|00:46:50|2810|02:28:39|22480||||||
140185_10.batch|batch|COMPLETED|0:0||dscog003||cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T15:15:33|2026-08-30T15:15:33|2026-08-30T16:02:23||00:46:50|2810|02:28:39|22480|4825.40M|0|02:28:39|1626.22M|9070.59M|0
140185_11|csp-angle-ablation|COMPLETED|0:0|gpu_7day|dscog003|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T14:31:33|2026-08-30T15:15:43|2026-08-30T16:03:19|00:00:00|00:47:36|2856|02:33:09|22848||||||
140185_11.batch|batch|COMPLETED|0:0||dscog003||cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T15:15:43|2026-08-30T15:15:43|2026-08-30T16:03:19||00:47:36|2856|02:33:09|22848|4841.90M|0|02:33:08|1765.04M|9543.52M|0
140185_12|csp-angle-ablation|COMPLETED|0:0|gpu_7day|dscog003|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T14:31:33|2026-08-30T15:15:49|2026-08-30T16:03:08|00:00:00|00:47:19|2839|02:35:55|22712||||||
140185_12.batch|batch|COMPLETED|0:0||dscog003||cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T15:15:49|2026-08-30T15:15:49|2026-08-30T16:03:08||00:47:19|2839|02:35:55|22712|5204.51M|0|02:35:55|1608.28M|8331.63M|0
140185_13|csp-angle-ablation|COMPLETED|0:0|gpu_7day|dscog006|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|billing=8,cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T14:31:33|2026-08-30T15:17:23|2026-08-30T16:03:43|00:00:00|00:46:20|2780|02:22:56|22240||||||
140185_13.batch|batch|COMPLETED|0:0||dscog006||cpu=8,gres/gpu:nvidia_a30=1,gres/gpu=1,mem=57344M,node=1|2026-08-30T15:17:23|2026-08-30T15:17:23|2026-08-30T16:03:43||00:46:20|2780|02:22:56|22240|4848.51M|0|02:22:56|1608.49M|8272.56M|0
